gene,comparison,group1,group2,foldchange,pvalue,fdr,rank
VAMP8,2_vs_0,2,0,-0.7954057779871716,6.491623184055541e-06,0.011079577869386794,4
GSTP1,2_vs_0,2,0,-1.738164597420523,8.870913052017725e-06,0.012112344681225002,5
S100A4,2_vs_0,2,0,-10.778796656822971,2.098294575297151e-05,0.023875095109256082,6
SRP14,2_vs_0,2,0,-0.9251777787605853,5.471964535208622e-05,0.05336728840267037,7
S100A9,2_vs_0,2,0,-34.54902082712674,6.3985866926555e-05,0.05460393918844887,8
NDUFB2,2_vs_0,2,0,-0.5544511288056119,0.0001041591913318686,0.07567218213124224,9
PSMB10,2_vs_0,2,0,-0.582919574842587,0.00012008960395346368,0.07567218213124224,10
TRAPPC1,2_vs_0,2,0,-0.5748193453843831,0.0001219267618930225,0.07567218213124224,11
GUK1,2_vs_0,2,0,-0.5229186474266223,0.00020135701979904507,0.11455536451400672,12
WDR83OS,2_vs_0,2,0,-0.5689211284815612,0.0003015000246252671,0.15833389754743835,13
CFL1,2_vs_0,2,0,-3.3405640313715628,0.00037574593508300525,0.18322982134369117,14
ANXA2,2_vs_0,2,0,-0.835667987115375,0.0006444455390678725,0.2933086463477577,15
B2M,2_vs_0,2,0,-17.726422726016185,0.0007264501978276935,0.30996721878560396,16
GPX4,2_vs_0,2,0,-0.6074128203925196,0.0011586732408562998,0.4653095420779976,17
ENO1,2_vs_0,2,0,-0.7333535753253169,0.0018790316400314547,0.7126749448052634,18
ANAPC11,2_vs_0,2,0,-0.40456521930349637,0.0020644996057048027,0.7418073056919309,19
GNB2,2_vs_0,2,0,-0.568209154066362,0.0030248576057645524,0.999247160775692,20
