,Foldchange,stat,pvalue,FDR,comparison,group1,group2
SAP18,-0.3040562933781632,-1.5985616295808123,0.10991804124194436,0.999247160775692,2_vs_0,2,0
PARVG,-0.1944626447311549,-1.5954695233136449,0.11060727995002384,0.999247160775692,2_vs_0,2,0
TMEM50A,-0.41511102662392346,-1.5932708143161451,0.11109945108343162,0.999247160775692,2_vs_0,2,0
CALM3,-0.3147711567671191,-1.5905172093549962,0.1117182696279241,0.999247160775692,2_vs_0,2,0
GLIPR1,-0.3905197274682897,-1.5883847632661534,0.11219936075999792,0.999247160775692,2_vs_0,2,0
HLA-A,-4.030235217746944,-1.5773140291619392,0.11472328590944086,0.999247160775692,2_vs_0,2,0
HNRNPF,-0.25769885492728073,-1.5688403814390806,0.11668513647091358,0.999247160775692,2_vs_0,2,0
NUP214,-0.24623081609618133,-1.5652232855855457,0.11753056344090766,0.999247160775692,2_vs_0,2,0
DDT,-0.2088272987996192,-1.5591671650224732,0.11895682012923277,0.999247160775692,2_vs_0,2,0
PPP4C,-0.29157263009122164,-1.5568055278084734,0.11951666439235405,0.999247160775692,2_vs_0,2,0
NDUFS5,-0.3598285471189927,-1.552185796640822,0.12061777359696965,0.999247160775692,2_vs_0,2,0
AP2M1,-0.20119383363917048,-1.5444763358469493,0.12247297972784156,0.999247160775692,2_vs_0,2,0
TCEA1,-0.22380819824516276,-1.542839514123303,0.1228697194976836,0.999247160775692,2_vs_0,2,0
NDUFA2,-0.3004063142636686,-1.5312202849237555,0.12571495906578353,0.999247160775692,2_vs_0,2,0
TNFAIP2,-0.23718277608840294,-1.5302965107639277,0.1259433515759956,0.999247160775692,2_vs_0,2,0
HSP90B1,-0.5205829939669951,-1.519418192609611,0.12865726553440773,0.999247160775692,2_vs_0,2,0
SEC61G,-0.2677405738140326,-1.510130405995316,0.13101015229055984,0.999247160775692,2_vs_0,2,0
SH3BGRL3,-8.300567214894187,-1.5039888372256953,0.13258424099293314,0.999247160775692,2_vs_0,2,0
WASF2,-0.2884818911564594,-1.49985720415448,0.13365139564846154,0.999247160775692,2_vs_0,2,0
